MSTATE,zip_clean,parcel_count,avg_parcel_value,median_parcel_value,total_parcel_value,min_parcel_value,max_parcel_value
NC,28618,1,36000,36000,36000,36000,36000
NC,28665,1,506738,506738,506738,506738,506738
NC,28778,1,360906,360906,360906,360906,360906
NC,28785,1,565797,565797,565797,565797,565797
NC,29545,1,244953,244953,244953,244953,244953
NC,27031,1,453358,453358,453358,453358,453358
NC,27293,1,7699948,7699948,7699948,7699948,7699948
NC,27851,1,279511,279511,279511,279511,279511
NC,28220,1,1524254,1524254,1524254,1524254,1524254
NC,28359,1,259088,259088,259088,259088,259088
NC,28404,1,525913,525913,525913,525913,525913
NC,28519,1,1266723,1266723,1266723,1266723,1266723
NC,28714,1,518063,518063,518063,518063,518063
NC,28761,1,67500,67500,67500,67500,67500
NC,28746,1,494786,494786,494786,494786,494786
NC,27986,1,229672,229672,229672,229672,229672
NC,27229,1,300538,300538,300538,300538,300538
NC,27541,1,353392,353392,353392,353392,353392
NC,27687,1,283547,283547,283547,283547,283547
NC,28023,1,296509,296509,296509,296509,296509
NC,28164,1,489389,489389,489389,489389,489389
NC,28237,1,1240779,1240779,1240779,1240779,1240779
NC,28344,1,589755,589755,589755,589755,589755
NC,28366,1,408090,408090,408090,408090,408090
NC,28749,1,516866,516866,516866,516866,516866
