MCITY,MSTATE,MZIP,data_quality_issue
SPRINGFIELD,VA,22150-2452,Bad State
WOODBRIDGE,VA,22191-4937,Bad State
ALEXANDRIA,VA,22301-2511,Bad State
STAFFORD,VA,22554-2047,Bad State
STAFFORD,VA,22556-6325,Bad State
LAKE FREDERICK,VA,22630-2369,Bad State
GLEN ALLEN,VA,23059-5951,Bad State
HENRICO,VA,23229-6071,Bad State
CHESAPEAKE,VA,23321-1388,Bad State
SUFFOLK,VA,23434-3766,Bad State
VIRGINIA BEACH,VA,23452-5765,Bad State
VIRGINIA BEACH,VA,23452-7488,Bad State
VIRGINIA BEACH,VA,23454-5756,Bad State
YORKTOWN,VA,23693-2050,Bad State
BRACEY,VA,23919-2903,Bad State
BLACKSBURG,VA,24060-8774,Bad State
LYNCHBURG,VA,24502-4907,Bad State
FOREST,VA,24551-3188,Bad State
ALUM CREEK,WV,25003-0009,Bad State
DAVIS,WV,26260-9737,Bad State
COLUMBIA,SC,29212-8020,Bad State
COLUMBIA,SC,29229-6841,Bad State
MT PLEASANT,SC,29464-4814,Bad State
FORT MILL,SC,29708-0137,Bad State
NORTH AUGUSTA,SC,29860-8042,Bad State
BEAUFORT,SC,29902-6606,Bad State
FAYETTEVILLE,GA,30214-7335,Bad State
ATLANTA,GA,30305-1717,Bad State
ATLANTA,GA,30325-0197,Bad State
ATLANTA,GA,30341-4620,Bad State
ATLANTA,GA,30363-1246,Bad State
NEW SMYRNA BEACH,FL,32168-2495,Bad State
JACKSONVILLE,FL,32225-7121,Bad State
JACKSONVILLE,FL,32226-5069,Bad State
GAINESVILLE,FL,32608-9177,Bad State
ALTAMONTE SPRINGS,FL,32714-3164,Bad State
WINTER PARK,FL,32789-4226,Bad State
ORLANDO,FL,32803-7102,Bad State
ORLANDO,FL,32817-2322,Bad State
WEST MELBOURNE,FL,32904-2105,Bad State
SEBASTIAN,FL,32958-4976,Bad State
MIAMI LAKES,FL,33016-1502,Bad State
MIAMI BEACH,FL,33119-0204,Bad State
MIAMI BEACH,FL,33139-2168,Bad State
MIAMI,FL,33196-5653,Bad State
FORT LAUDERDALE,FL,33304-3440,Bad State
OAKLAND PARK,FL,33334-2806,Bad State
WELLINGTON,FL,33414-4407,Bad State
BOCA RATON,FL,33431-8147,Bad State
JUPITER,FL,33458-7412,Bad State
DELRAY BEACH,FL,33483-6808,Bad State
BOCA RATON,FL,33487-3206,Bad State
BOCA RATON,FL,33496-1229,Bad State
WESLEY CHAPEL,FL,33545-4531,Bad State
TEMPLE TERRACE,FL,33617-3163,Bad State
ST PETERSBURG,FL,33709-4512,Bad State
LAKELAND,FL,33803-2242,Bad State
FORT MYERS,FL,33905-5378,Bad State
PUNTA GORDA,FL,33950-6610,Bad State
NAPLES,FL,34104-5408,Bad State
NAPLES,FL,34113-3148,Bad State
POINCIANA,FL,34759-3124,Bad State
PORT ST LUCIE,FL,34984-2314,Bad State
VESTAVIA,AL,35243-3168,Bad State
BIRMINGHAM,AL,35253-0710,Bad State
FORT NOVOSEL,AL,36362-2325,Bad State
AUBURN,AL,36830-4128,Bad State
FRANKLIN,TN,37064-4622,Bad State
NASHVILLE,TN,37203-1097,Bad State
ATHENS,TN,37303-2853,Bad State
CHATTANOOGA,TN,37421-2869,Bad State
LEXINGTON,KY,40555-4788,Bad State
FORT THOMAS,KY,41075-1257,Bad State
UNION,KY,41091-9075,Bad State
POWELL,OH,43065-9065,Bad State
LAGRANGE,OH,44050-9001,Bad State
CLEVELAND,OH,44124-5783,Bad State
CINCINNATI,OH,45208-1113,Bad State
BEAVERCREEK,OH,45434-0805,Bad State
CARMEL,IN,46033-7787,Bad State
SAINT CLAIR,MI,48079-5335,Bad State
ROCHESTER HILLS,MI,48307-3583,Bad State
EAST LANSING,MI,48823-6193,Bad State
HOLLAND,MI,49424-2241,Bad State
ANKENY,IA,50023-9570,Bad State
IOWA CITY,IA,52240-8593,Bad State
MEQUON,WI,53097-2719,Bad State
BURLINGTON,WI,53105-9191,Bad State
MENASHA,WI,54952-8820,Bad State
PLAINFIELD,WI,54966-7833,Bad State
WOODBURY,MN,55129-8379,Bad State
HOPKINS,MN,55343-7456,Bad State
PLYMOUTH,MN,55446-1689,Bad State
SIOUX FALLS,SD,57186-0001,Bad State
LOMBARD,IL,60148-4259,Bad State
AURORA,IL,60503-8577,Bad State
CHICAGO,IL,60607-3494,Bad State
CHICAGO,IL,60637-2725,Bad State
CHICAGO,IL,60654,Bad State
CHICAGO,IL,60661-1349,Bad State
DECATUR,IL,62522-2753,Bad State
SPRINGFIELD,IL,62704-7215,Bad State
RAYMORE,MO,64083-0200,Bad State
SPRINGFIELD,MO,65802-2210,Bad State
