MCITY,MSTATE,MZIP,data_quality_issue
SPRINGFIELD,MO,65807-8766,Bad State
ROELAND PARK,KS,66205-2140,Bad State
GYPSUM,KS,67448-9740,Bad State
BELLEVUE,NE,68123-2717,Bad State
SCOTTSBLUFF,NE,69361-3906,Bad State
NEW ORLEANS,LA,70126-3416,Bad State
EDMOND,OK,73034-5006,Bad State
NORMAN,OK,73072-2866,Bad State
INOLA,OK,74036-3013,Bad State
TULSA,OK,74133-7038,Bad State
TULSA,OK,74137-2810,Bad State
SHAWNEE,OK,74804-3302,Bad State
ALLEN,TX,75002-2829,Bad State
ALLEN,TX,75002-5348,Bad State
ALLEN,TX,75013-1190,Bad State
ALLEN,TX,75013-5548,Bad State
PLANO,TX,75024-0060,Bad State
PLANO,TX,75025-4344,Bad State
FLOWER MOUND,TX,75028-8325,Bad State
FRISCO,TX,75033-2941,Bad State
FRISCO,TX,75033-4759,Bad State
FRISCO,TX,75035-0933,Bad State
FRISCO,TX,75035-5279,Bad State
LEWISVILLE,TX,75056-5550,Bad State
LITTLE ELM,TX,75068-5123,Bad State
MCKINNEY,TX,75071-0023,Bad State
RICHARDSON,TX,75080-3736,Bad State
RICHARDSON,TX,75082-4937,Bad State
DALLAS,TX,75201,Bad State
DALLAS,TX,75205-2236,Bad State
DALLAS,TX,75206-4161,Bad State
DALLAS,TX,75210-1333,Bad State
DALLAS,TX,75225-5851,Bad State
DALLAS,TX,75248-4981,Bad State
DALLAS,TX,75287-7211,Bad State
HIDEAWAY,TX,75771-5151,Bad State
COLLEYVILLE,TX,76034-4154,Bad State
AUBREY,TX,76227-5710,Bad State
SAN ANGELO,TX,76904-8101,Bad State
HOUSTON,TX,77018-4512,Bad State
HOUSTON,TX,77024-3637,Bad State
HOUSTON,TX,77043-4323,Bad State
HOUSTON,TX,77044-2084,Bad State
HOUSTON,TX,77054-1619,Bad State
HOUSTON,TX,77077-4842,Bad State
HOUSTON,TX,77098-2919,Bad State
SPRING,TX,77382-1740,Bad State
SPRING,TX,77389-4049,Bad State
RICHMOND,TX,77406-1787,Bad State
BELLVILLE,TX,77418-3142,Bad State
KATY,TX,77450-5602,Bad State
SUGAR LAND,TX,77479-5672,Bad State
SUGAR LAND,TX,77479-8942,Bad State
TIKI ISLAND,TX,77554-6126,Bad State
SEABROOK,TX,77586-1735,Bad State
NEW BRAUNFELS,TX,78132-3816,Bad State
SAN ANTONIO,TX,78209-3336,Bad State
SAN ANTONIO,TX,78230-5230,Bad State
SAN ANTONIO,TX,78255-4446,Bad State
CEDAR PARK,TX,78613-4838,Bad State
CEDAR PARK,TX,78613-5831,Bad State
PFLUGERVILLE,TX,78660-2828,Bad State
ROUND ROCK,TX,78681-2159,Bad State
AUSTIN,TX,78704-7220,Bad State
AUSTIN,TX,78705-3139,Bad State
AUSTIN,TX,78732-2449,Bad State
AUSTIN,TX,78736-1762,Bad State
THE HILLS,TX,78738-1468,Bad State
AUSTIN,TX,78746,Bad State
AURORA,CO,80012-3661,Bad State
AURORA,CO,80016-7272,Bad State
WESTMINSTER,CO,80021-4409,Bad State
LAFAYETTE,CO,80026-1589,Bad State
GREENWOOD VILLAGE,CO,80111-4130,Bad State
ENGLEWOOD,CO,80113-2841,Bad State
LITTLETON,CO,80122-2986,Bad State
HIGHLANDS RANCH,CO,80129-2631,Bad State
LITTLETON,CO,80129-7027,Bad State
DENVER,CO,80205-2933,Bad State
DENVER,CO,80205-6008,Bad State
DENVER,CO,80206-1017,Bad State
DENVER,CO,80211-4726,Bad State
LAKEWOOD,CO,80214-4595,Bad State
DENVER,CO,80216-4702,Bad State
DENVER,CO,80238-2565,Bad State
DENVER,CO,80246-2146,Bad State
BOULDER,CO,80304-2492,Bad State
GOLDEN,CO,80403-1437,Bad State
GOLDEN,CO,80403-8351,Bad State
LONGMONT,CO,80503-2716,Bad State
BERTHOUD,CO,80513-9660,Bad State
JOHNSTOWN,CO,80534-7469,Bad State
COLORADO SPRINGS,CO,80919-3959,Bad State
COLORADO SPRINGS,CO,80921-1302,Bad State
COLORADO SPRINGS,CO,80970-6252,Bad State
CHEYENNE,WY,82001-4528,Bad State
POCATELLO,ID,83204-4400,Bad State
BOISE,ID,83702-8933,Bad State
BOISE,ID,83716-5896,Bad State
DRAPER,UT,84020-5564,Bad State
SANDY,UT,84092-4074,Bad State
PARK CITY,UT,84098-5229,Bad State
SALT LAKE CITY,UT,84121-7030,Bad State
LA VERKIN,UT,84745-5618,Bad State
PHOENIX,AZ,85008-2338,Bad State
PHOENIX,AZ,85016-7029,Bad State
PHOENIX,AZ,85016-7849,Bad State
PHOENIX,AZ,85048-4310,Bad State
PHOENIX,AZ,85050-8767,Bad State
PHOENIX,AZ,85083-0814,Bad State
PHOENIX,AZ,85083-6377,Bad State
MESA,AZ,85202-5721,Bad State
MESA,AZ,85202-6312,Bad State
MESA,AZ,85213-1925,Bad State
GILBERT,AZ,85233-6906,Bad State
HIGLEY,AZ,85236-1778,Bad State
SCOTTSDALE,AZ,85254-4839,Bad State
SCOTTSDALE,AZ,85255-6657,Bad State
MESA,AZ,85274-0970,Bad State
TEMPE,AZ,85281-2875,Bad State
TEMPE,AZ,85282-3991,Bad State
CHANDLER,AZ,85286-1661,Bad State
GILBERT,AZ,85296-1489,Bad State
GILBERT,AZ,85298-0591,Bad State
TUCSON,AZ,85750-9644,Bad State
PRESCOTT,AZ,86305-8880,Bad State
LAS VEGAS,NV,89117-1944,Bad State
LAS VEGAS,NV,89135-1811,Bad State
LAS VEGAS,NV,89148-7647,Bad State
RENO,NV,89511-8554,Bad State
LOS ANGELES,CA,90025-5119,Bad State
LOS ANGELES,CA,90027-1144,Bad State
LOS ANGELES,CA,90032-1910,Bad State
LOS ANGELES,CA,90034-5570,Bad State
LOS ANGELES,CA,90034-7104,Bad State
LOS ANGELES,CA,90063,Bad State
CULVER CITY,CA,90230-6680,Bad State
EL SEGUNDO,CA,90245,Bad State
REDONDO BEACH,CA,90277,Bad State
REDONDO BEACH,CA,90278-4608,Bad State
REDONDO BEACH,CA,90278-4840,Bad State
VENICE,CA,90291-3443,Bad State
TORRANCE,CA,90501-2905,Bad State
TORRANCE,CA,90503-1602,Bad State
TORRANCE,CA,90504-3102,Bad State
TORRANCE,CA,90504-3444,Bad State
SAN PEDRO,CA,90731-1143,Bad State
SEAL BEACH,CA,90740-6013,Bad State
LONG BEACH,CA,90803-3301,Bad State
LONG BEACH,CA,90805-2221,Bad State
ALTADENA,CA,91001-3343,Bad State
SOUTH PASADENA,CA,91030-3317,Bad State
PASADENA,CA,91105-1896,Bad State
SAN MARINO,CA,91108-1325,Bad State
SAN MARINO,CA,91108-2115,Bad State
SAN MARINO,CA,91108-2423,Bad State
AGOURA HILLS,CA,91301,Bad State
CALABASAS,CA,91302-1952,Bad State
WEST HILLS,CA,91307-1324,Bad State
PORTER RANCH,CA,91326-3889,Bad State
NORTH HILLS,CA,91343,Bad State
CANYON COUNTRY,CA,91351-3445,Bad State
VALENCIA,CA,91354-2148,Bad State
THOUSAND OAKS,CA,91362-2413,Bad State
VAN NUYS,CA,91409-7226,Bad State
SHERMAN OAKS,CA,91423-5844,Bad State
ENCINO,CA,91436-2072,Bad State
ENCINO,CA,91436-2754,Bad State
CHINO HILLS,CA,91709-3949,Bad State
RANCHO CUCAMONGA,CA,91739-8097,Bad State
GLENDORA,CA,91740-4848,Bad State
DIAMOND BAR,CA,91765-2508,Bad State
DIAMOND BAR,CA,91765-3313,Bad State
ROSEMEAD,CA,91770-2714,Bad State
ROSEMEAD,CA,91770-5106,Bad State
ALHAMBRA,CA,91801-3731,Bad State
ALHAMBRA,CA,91801-4809,Bad State
CHULA VISTA,CA,91911-7014,Bad State
SPRING VALLEY,CA,91978-2034,Bad State
CARLSBAD,CA,92009-1730,Bad State
CARLSBAD,CA,92009-3080,Bad State
CARLSBAD,CA,92011-4004,Bad State
EL CAJON,CA,92019-5117,Bad State
ENCINITAS,CA,92024-3868,Bad State
LAKESIDE,CA,92040-5521,Bad State
SAN MARCOS,CA,92069-7327,Bad State
SOLANA BEACH,CA,92075-1627,Bad State
SAN DIEGO,CA,92102-2127,Bad State
SAN DIEGO,CA,92114-3307,Bad State
SAN DIEGO,CA,92126-1253,Bad State
SAN DIEGO,CA,92129-1530,Bad State
SAN DIEGO,CA,92129-3504,Bad State
SAN DIEGO,CA,92130-2539,Bad State
SAN DIEGO,CA,92130-2680,Bad State
BEAUMONT,CA,92223-7473,Bad State
LA QUINTA,CA,92253-3845,Bad State
HESPERIA,CA,92345-5777,Bad State
RIVERSIDE,CA,92504-3294,Bad State
IRVINE,CA,92602-0922,Bad State
IRVINE,CA,92603-5709,Bad State
IRVINE,CA,92606-4504,Bad State
IRVINE,CA,92606-4513,Bad State
IRVINE,CA,92606-8926,Bad State
IRVINE,CA,92618-1366,Bad State
IRVINE,CA,92618-4811,Bad State
IRVINE,CA,92620-2152,Bad State
IRVINE,CA,92620-3343,Bad State
CORONA DEL MAR,CA,92625-2601,Bad State
COSTA MESA,CA,92626-7999,Bad State
COSTA MESA,CA,92628-2007,Bad State
LAKE FOREST,CA,92630-1431,Bad State
LAGUNA WOODS,CA,92637,Bad State
HUNTINGTON BEACH,CA,92648-5815,Bad State
LAGUNA HILLS,CA,92653-5437,Bad State
ALISO VIEJO,CA,92656-5285,Bad State
NEWPORT COAST,CA,92657-1600,Bad State
NEWPORT BEACH,CA,92660-7506,Bad State
NEWPORT BEACH,CA,92663-2547,Bad State
NEWPORT BEACH,CA,92663-2925,Bad State
WESTMINSTER,CA,92683-3447,Bad State
RANCHO SANTA MARGARITA,CA,92688-8719,Bad State
SANTA ANA,CA,92735-0087,Bad State
TUSTIN,CA,92782-1196,Bad State
TUSTIN,CA,92782-8909,Bad State
GARDEN GROVE,CA,92840-2027,Bad State
GARDEN GROVE,CA,92841-3336,Bad State
GARDEN GROVE,CA,92844-2150,Bad State
PLACENTIA,CA,92870-8418,Bad State
YORBA LINDA,CA,92886-1301,Bad State
OJAI,CA,93023-3001,Bad State
SIMI VALLEY,CA,93063-0449,Bad State
GOLETA,CA,93117-5341,Bad State
SANTA YNEZ,CA,93460-9757,Bad State
SEASIDE,CA,93955-6549,Bad State
BELMONT,CA,94002-7246,Bad State
DALY CITY,CA,94014-1931,Bad State
HALF MOON BAY,CA,94019-4240,Bad State
LOS ALTOS,CA,94022,Bad State
LOS ALTOS,CA,94022-6514,Bad State
LOS ALTOS,CA,94024-4832,Bad State
LOS ALTOS,CA,94024-7222,Bad State
MOUNTAIN VIEW,CA,94040-3650,Bad State
MOUNTAIN VIEW,CA,94040-6206,Bad State
MOUNTAIN VIEW,CA,94042-1336,Bad State
REDWOOD CITY,CA,94061-1260,Bad State
REDWOOD CITY,CA,94061-2212,Bad State
REDWOOD CITY,CA,94062-2108,Bad State
WOODSIDE,CA,94062-2633,Bad State
REDWOOD CITY,CA,94065-1129,Bad State
SAN CARLOS,CA,94070-1707,Bad State
SUNNYVALE,CA,94085-1003,Bad State
SUNNYVALE,CA,94086-0135,Bad State
SUNNYVALE,CA,94086-4815,Bad State
SUNNYVALE,CA,94086-5363,Bad State
SUNNYVALE,CA,94086-8373,Bad State
SUNNYVALE,CA,94087-1711,Bad State
SUNNYVALE,CA,94087-1858,Bad State
SUNNYVALE,CA,94087-5420,Bad State
SAN FRANSICO,CA,94102,Bad State
SAN FRANCISCO,CA,94104-5401,Bad State
SAN FRANCISCO,CA,94105-2164,Bad State
SAN FRANCISCO,CA,94112-1255,Bad State
SAN FRANCISCO,CA,94115-4314,Bad State
SAN FRANCISCO,CA,94118-3926,Bad State
SAN FRANCISCO,CA,94158-2345,Bad State
PALO ALTO,CA,94303-4069,Bad State
PALO ALTO,CA,94306-1351,Bad State
SAN MATEO,CA,94403-1596,Bad State
FOSTER CITY,CA,94404-1309,Bad State
FOSTER CITY,CA,94404-2932,Bad State
FOSTER CITY,CA,94404-3967,Bad State
ALAMEDA,CA,94501-3921,Bad State
PLEASANT HILL,CA,94523-1120,Bad State
PLEASANT HILL,CA,94523-4001,Bad State
PLEASANT HILL,CA,94523-4908,Bad State
DANVILLE,CA,94526-3211,Bad State
FREMONT,CA,94536-2665,Bad State
FREMONT,CA,94536-4638,Bad State
FREMONT,CA,94536-6638,Bad State
FREMONT,CA,94536-7074,Bad State
FREMONT,CA,94538-1208,Bad State
FREMONT,CA,94538-3580,Bad State
FREMONT,CA,94538-3981,Bad State
FREMONT,CA,94538-3989,Bad State
FREMONT,CA,94538-4277,Bad State
FREMONT,CA,94539-3670,Bad State
FREMONT,CA,94539-3762,Bad State
FREMONT,CA,94539-5208,Bad State
FREMONT,CA,94539-6251,Bad State
CASTRO VALLEY,CA,94552-5517,Bad State
FREMONT,CA,94555-1472,Bad State
FREMONT,CA,94555-1572,Bad State
FREMONT,CA,94555-1983,Bad State
FREMONT,CA,94555-2280,Bad State
NEWARK,CA,94560-2361,Bad State
PLEASANTON,CA,94566-4703,Bad State
PLEASANTON,CA,94566-5440,Bad State
PLEASANTON,CA,94566-5903,Bad State
DUBLIN,CA,94568-2554,Bad State
DUBLIN,CA,94568-4251,Bad State
DUBLIN,CA,94568-4839,Bad State
DUBLIN,CA,94568-5556,Bad State
DUBLIN,CA,94568-6726,Bad State
DUBLIN,CA,94568-7916,Bad State
SAN RAMON,CA,94582-3071,Bad State
SAN RAMON,CA,94582-4969,Bad State
SAN RAMON,CA,94582-5076,Bad State
SAN RAMON,CA,94583-3186,Bad State
SAN RAMON,CA,94583-3825,Bad State
SAN RAMON,CA,94583-4000,Bad State
SAN RAMON,CA,94583-9116,Bad State
UNION CITY,CA,94587-1546,Bad State
UNION CITY,CA,94587-5400,Bad State
UNION CITY,CA,94587-8203,Bad State
PLEASANTON,CA,94588-3639,Bad State
PLEASANTON,CA,94588-4852,Bad State
PLEASANTON,CA,94588-8228,Bad State
VALLEJO,CA,94590-8159,Bad State
VALLEJO,CA,94591-6448,Bad State
WALNUT CREEK,CA,94596-4014,Bad State
WALNUT CREEK,CA,94597-2462,Bad State
WALNUT CREEK,CA,94597-3130,Bad State
OAKLAND,CA,94607-3637,Bad State
OAKLAND,CA,94609-1726,Bad State
OAKLAND,CA,94610-4720,Bad State
EL SOBRANTE,CA,94803-1449,Bad State
BELVEDERE TIBURON,CA,94920-2024,Bad State
ROHNERT PARK,CA,94928-5045,Bad State
CAMPBELL,CA,95008-3401,Bad State
CAMPBELL,CA,95008-3839,Bad State
CAMPBELL,CA,95008-5810,Bad State
CAMPBELL,CA,95008-5903,Bad State
CAMPBELL,CA,95011-1712,Bad State
CUPERTINO,CA,95014-2008,Bad State
CUPERTINO,CA,95014-3336,Bad State
CUPERTINO,CA,95014-4668,Bad State
CUPERTINO,CA,95015-2867,Bad State
GILROY,CA,95020-5315,Bad State
LOS GATOS,CA,95032-1710,Bad State
LOS GATOS,CA,95033-9285,Bad State
MILPITAS,CA,95035-4429,Bad State
MILPITAS,CA,95035-6540,Bad State
MILPITAS,CA,95035-7985,Bad State
MILPITAS,CA,95035-8048,Bad State
MORGAN HILL,CA,95037-7187,Bad State
SANTA CLARA,CA,95050-3738,Bad State
SANTA CLARA,CA,95051-1855,Bad State
SANTA CLARA,CA,95051-1920,Bad State
SANTA CLARA,CA,95051-2324,Bad State
SANTA CLARA,CA,95051-3513,Bad State
SANTA CLARA,CA,95051-5566,Bad State
SANTA CLARA,CA,95051-5843,Bad State
SARATOGA,CA,95070-3018,Bad State
SARATOGA,CA,95070-3063,Bad State
SARATOGA,CA,95070-3319,Bad State
SARATOGA,CA,95070-3328,Bad State
SARATOGA,CA,95070-3514,Bad State
SARATOGA,CA,95070-3723,Bad State
SARATOGA,CA,95070-4724,Bad State
SAN JOSE,CA,95117-1494,Bad State
SAN JOSE,CA,95117-2978,Bad State
SAN JOSE,CA,95118-1752,Bad State
SAN JOSE,CA,95118-2033,Bad State
SAN JOSE,CA,95118-3466,Bad State
SAN JOSE,CA,95119-1412,Bad State
SAN JOSE,CA,95120-1849,Bad State
SAN JOSE,CA,95120-3026,Bad State
SAN JOSE,CA,95120-5410,Bad State
SAN JOSE,CA,95121-1929,Bad State
SAN JOSE,CA,95121-2603,Bad State
SAN JOSE,CA,95124-2519,Bad State
SAN JOSE,CA,95124-2703,Bad State
SAN JOSE,CA,95124-3609,Bad State
SAN JOSE,CA,95124-5138,Bad State
SAN JOSE,CA,95125-2407,Bad State
SAN JOSE,CA,95125-3307,Bad State
SAN JOSE,CA,95125-6600,Bad State
SAN JOSE,CA,95129-2915,Bad State
SAN JOSE,CA,95129-3033,Bad State
SAN JOSE,CA,95130-1818,Bad State
SAN JOSE,CA,95131-2746,Bad State
SAN JOSE,CA,95131-3020,Bad State
SAN JOSE,CA,95131-3051,Bad State
SAN JOSE,CA,95132-1404,Bad State
SAN JOSE,CA,95133-2059,Bad State
SAN JOSE,CA,95134-1829,Bad State
SAN JOSE,CA,95134-2017,Bad State
SAN JOSE,CA,95136-2644,Bad State
SAN JOSE,CA,95138-2115,Bad State
SAN JOSE,CA,95138-2380,Bad State
SAN JOSE,CA,95173-1356,Bad State
TURLOCK,CA,95382-7418,Bad State
MOUNTAIN HOUSE,CA,95391-1502,Bad State
MOUNTAIN HOUSE,CA,95391-8002,Bad State
MOUNTAIN HOUSE,CA,95391-8296,Bad State
SONOMA,CA,95476-4655,Bad State
AUBURN,CA,95602-8480,Bad State
DAVIS,CA,95618-7649,Bad State
FOLSOM,CA,95630-6084,Bad State
FOLSOM,CA,95630-7338,Bad State
LINCOLN,CA,95648-8947,Bad State
N HIGHLANDS,CA,95660-3749,Bad State
ROSEVILLE,CA,95661-3222,Bad State
ROCKLIN,CA,95677-3541,Bad State
EL DORADO HILLS,CA,95762-0014,Bad State
WOODLAND,CA,95776-5504,Bad State
SACRAMENTO,CA,95835-2333,Bad State
SACRAMENTO,CA,95864-5639,Bad State
PLUMAS LAKE,CA,95961-9216,Bad State
TAHOE CITY,CA,96145-0167,Bad State
KAILUA KONA,HI,96740,Bad State
KAILUA KONA,HI,96740-9752,Bad State
WAHIAWA,HI,96786-5827,Bad State
TUALATIN,OR,97062-6869,Bad State
ROSEBURG,OR,97471-4409,Bad State
ONTARIO,OR,97914-3335,Bad State
AUBURN,WA,98002-6245,Bad State
BELLEVUE,WA,98004-2355,Bad State
BELLEVUE,WA,98004-7042,Bad State
BELLEVUE,WA,98006-1593,Bad State
BELLEVUE,WA,98006-3652,Bad State
BELLEVUE,WA,98008-5971,Bad State
EDMONDS,WA,98026-7270,Bad State
ISSAQUAH,WA,98027-2820,Bad State
KENMORE,WA,98028-4453,Bad State
KENT,WA,98030-5414,Bad State
KIRKLAND,WA,98033,Bad State
KIRKLAND,WA,98033-7621,Bad State
MERCER ISLAND,WA,98040-2223,Bad State
REDMOND,WA,98052-1747,Bad State
RENTON,WA,98056-2765,Bad State
RENTON,WA,98058-9156,Bad State
SAMMAMISH,WA,98074-7089,Bad State
SAMMAMISH,WA,98075-9411,Bad State
SEATTLE,WA,98101-1363,Bad State
SEATTLE,WA,98101-3367,Bad State
SEATTLE,WA,98107-2855,Bad State
SEATTLE,WA,98109-5821,Bad State
SEATTLE,WA,98109-6032,Bad State
SEATTLE,WA,98112-4016,Bad State
SEATTLE,WA,98126-5113,Bad State
BELLINGHAM,WA,98226-7278,Bad State
MUKILTEO,WA,98275-2116,Bad State
LACEY,WA,98516-7169,Bad State
CAMAS,WA,98607-9871,Bad State
VANCOUVER,WA,98660-3476,Bad State
SPOKANE,WA,99207-1903,Bad State
EIELSON AFB,AK,99702-4001,Bad State
JUNEAU,AK,99801-8779,Bad State
BOTHELL,WA,98021-5070,Bad State
TOA BAJA,PR,00950-1526,Bad State
PITTSFIELD,MA,01201-1552,Bad State
PITTSFIELD,MA,01201-8237,Bad State
LENOX,MA,01240-2447,Bad State
LITTLETON,MA,01460-1620,Bad State
SHREWSBURY,MA,01545-5469,Bad State
SHREWSBURY,MA,01545-6411,Bad State
SHREWSBURY,MA,01545-8301,Bad State
WESTBOROUGH,MA,01581-3637,Bad State
WORCESTER,MA,01604-1176,Bad State
BOXBOROUGH,MA,01719-1512,Bad State
BOXBOROUGH,MA,01719-1629,Bad State
ACTON,MA,01720-2763,Bad State
ACTON,MA,01720-3244,Bad State
ACTON,MA,01720-5883,Bad State
ASHLAND,MA,01721-1882,Bad State
BEDFORD,MA,01730-2054,Bad State
BEDFORD,MA,01730-2066,Bad State
BEDFORD,MA,01730-2419,Bad State
BEDFORD,MA,01730-2501,Bad State
CARLISLE,MA,01741-1234,Bad State
CONCORD,MA,01742-3177,Bad State
HOPKINTON,MA,01748-1323,Bad State
WAYLAND,MA,01778-2800,Bad State
ANDOVER,MA,01810-3428,Bad State
ANDOVER,MA,01810-4835,Bad State
CHELMSFORD,MA,01824-4663,Bad State
CHELMSFORD,MA,01824-6306,Bad State
HAVERHILL,MA,01830-1589,Bad State
NORTH ANDOVER,MA,01845-6228,Bad State
LOWELL,MA,01851-2013,Bad State
N BILLERICA,MA,01862-2140,Bad State
NORTH READING,MA,01864-3230,Bad State
WESTFORD,MA,01886-1192,Bad State
WESTFORD,MA,01886-2595,Bad State
WILMINGTON,MA,01887-3838,Bad State
SAUGUS,MA,01906-3620,Bad State
BEVERLY,MA,01915-2168,Bad State
LYNNFIELD,MA,01940-1962,Bad State
MIDDLETON,MA,01949-2257,Bad State
PEABODY,MA,01960-8620,Bad State
SOUTH HAMILTON,MA,01982-2015,Bad State
CANTON,MA,02021-1044,Bad State
FRANKLIN,MA,02038-1789,Bad State
FRANKLIN,MA,02038-2666,Bad State
FRANKLIN,MA,02038-2752,Bad State
NORFOLK,MA,02056-4004,Bad State
SHARON,MA,02067-2479,Bad State
SHARON,MA,02067-2880,Bad State
SHARON,MA,02067-2939,Bad State
STOUGHTON,MA,02072-3587,Bad State
BOSTON,MA,02109-2106,Bad State
BOSTON,MA,02110-3104,Bad State
BOSTON,MA,02114-2276,Bad State
BOSTON,MA,02115-3512,Bad State
ROXBURY,MA,02119-1435,Bad State
BOSTON,MA,02119-1568,Bad State
ROXBURY,MA,02119-2366,Bad State
BOSTON,MA,02128-2175,Bad State
CHARLESTOWN,MA,02129-2513,Bad State
WEST ROXBURY,MA,02132-5050,Bad State
MALDEN,MA,02148-7931,Bad State
MEDFORD,MA,02155-3151,Bad State
QUINCY,MA,02170-2509,Bad State
MILTON,MA,02186-2321,Bad State
BOSTON,MA,02199-8203,Bad State
BOSTON,MA,02298-1012,Bad State
LEXINGTON,MA,02420-2002,Bad State
LEXINGTON,MA,02421-7526,Bad State
LEXINGTON,MA,02421-7944,Bad State
BROOKLINE,MA,02446-6777,Bad State
WALTHAM,MA,02451-0955,Bad State
WALTHAM,MA,02453-6886,Bad State
NEWTON,MA,02458-1039,Bad State
NEWTON,MA,02459-1336,Bad State
AUBURNDALE,MA,02466-2317,Bad State
WATERTOWN,MA,02472-2773,Bad State
BELMONT,MA,02478-4024,Bad State
NEEDHAM,MA,02492-1534,Bad State
NEEDHAM,MA,02494-1833,Bad State
NANTUCKET,MA,02554-2880,Bad State
CENTERVILLE,MA,02632-2151,Bad State
CENTERVILLE,MA,02632-2528,Bad State
SOUTH YARMOUTH,MA,02664-2911,Bad State
BLOCK ISLAND,RI,02807-1640,Bad State
CHARLESTOWN,RI,02813-2839,Bad State
CUMBERLAND,RI,02864-1645,Bad State
CUMBERLAND,RI,02864-4847,Bad State
WARWICK,RI,02886-1745,Bad State
DERRY,NH,03038-4009,Bad State
HUDSON,NH,03051-6904,Bad State
LONDONDERRY,NH,03053-2207,Bad State
MERRIMACK,NH,03054-4750,Bad State
NASHUA,NH,03062-2135,Bad State
NASHUA,NH,03062-2533,Bad State
NASHUA,NH,03062-3031,Bad State
NASHUA,NH,03062-4735,Bad State
BEDFORD,NH,03110-4544,Bad State
BARRINGTON,NH,03825-5121,Bad State
NEW CASTLE,NH,03854-0444,Bad State
SCARBOROUGH,ME,04074-7558,Bad State
N YARMOUTH,ME,04097-6934,Bad State
FALMOUTH,ME,04105-1160,Bad State
BANGOR,ME,04401-4062,Bad State
BREWER,ME,04412-2304,Bad State
MILLINOCKET,ME,04462-1901,Bad State
CHARLOTTE,VT,05445-9110,Bad State
MILTON,VT,05468,Bad State
STOWE,VT,05672-5307,Bad State
GLASTONBURY,CT,06033-3849,Bad State
NEW BRITAIN,CT,06052-1928,Bad State
UNIONVILLE,CT,06085-1475,Bad State
WEST SUFFIELD,CT,06093-2400,Bad State
WINDSOR,CT,06095-4508,Bad State
NIANTIC,CT,06357-2038,Bad State
MILFORD,CT,06461-1738,Bad State
SOUTHINGTON,CT,06489-2407,Bad State
NEW HAVEN,CT,06513-4612,Bad State
HAMDEN,CT,06518-1773,Bad State
PROSPECT,CT,06712-1807,Bad State
BROOKFIELD,CT,06804-1715,Bad State
FAIRFIELD,CT,06824-1946,Bad State
GREENWICH,CT,06830-6005,Bad State
NORWALK,CT,06851-3303,Bad State
NORWALK,CT,06854-3727,Bad State
OLD GREENWICH,CT,06870-1114,Bad State
WESTPORT,CT,06880-3717,Bad State
REDDING,CT,06896-1425,Bad State
WILTON,CT,06897-3914,Bad State
STAMFORD,CT,06902-1619,Bad State
STAMFORD,CT,06902-6359,Bad State
STAMFORD,CT,06902-8815,Bad State
STAMFORD,CT,06903-2606,Bad State
BAYONNE,NJ,07002-3006,Bad State
BOONTON,NJ,07005-1617,Bad State
CEDAR GROVE,NJ,07009-1537,Bad State
CLIFFSIDE PARK,NJ,07010-2110,Bad State
CLIFFSIDE PARK,NJ,07010-2223,Bad State
CLIFTON,NJ,07012-1134,Bad State
CLIFTON,NJ,07012-1855,Bad State
CLIFTON,NJ,07014-1726,Bad State
EDGEWATER,NJ,07020-1816,Bad State
HARRISON,NJ,07029-2122,Bad State
HARRISON,NJ,07029-2431,Bad State
HOBOKEN,NJ,07030-6989,Bad State
KEARNY,NJ,07032-3518,Bad State
LIVINGSTON,NJ,07039-1419,Bad State
LIVINGSTON,NJ,07039-1801,Bad State
LIVINGSTON,NJ,07039-3422,Bad State
LIVINGSTON,NJ,07039-4124,Bad State
LIVINGSTON,NJ,07039-4126,Bad State
LIVINGSTON,NJ,07039-4322,Bad State
LIVINGSTON,NJ,07039-4606,Bad State
LIVINGSTON,NJ,07039-6202,Bad State
LIVINGSTON,NJ,07039-6231,Bad State
MILLBURN,NJ,07041-1341,Bad State
MILLBURN,NJ,07041-1437,Bad State
MILLBURN,NJ,07041-1481,Bad State
MILLBURN,NJ,07041-1502,Bad State
UPPER MONTCLAIR,NJ,07043-1808,Bad State
MOUNTAIN LAKES,NJ,07046-1230,Bad State
MOUNTAIN LAKES,NJ,07046-1307,Bad State
NORTH BERGEN,NJ,07047-5168,Bad State
NORTH BERGEN,NJ,07047-5223,Bad State
ORANGE,NJ,07050-3128,Bad State
WEST ORANGE,NJ,07052-1433,Bad State
PARSIPPANY,NJ,07054-1248,Bad State
PARSIPPANY,NJ,07054-3419,Bad State
PARSIPPANY,NJ,07054-3432,Bad State
PARSIPPANY,NJ,07054-3484,Bad State
PINE BROOK,NJ,07058-9534,Bad State
WARREN,NJ,07059,Bad State
WARREN,NJ,07059-2722,Bad State
WARREN,NJ,07059-5309,Bad State
WARREN,NJ,07059-5846,Bad State
WARREN,NJ,07059-7154,Bad State
N PLAINFIELD,NJ,07060-4127,Bad State
PLAINFIELD,NJ,07063-1358,Bad State
COLONIA,NJ,07067-2709,Bad State
RUTHERFORD,NJ,07070-2454,Bad State
MOONACHIE,NJ,07074-1238,Bad State
SCOTCH PLAINS,NJ,07076-3562,Bad State
SHORT HILLS,NJ,07078-2120,Bad State
SHORT HILLS,NJ,07078-2463,Bad State
SHORT HILLS,NJ,07078-3236,Bad State
SHORT HILLS,NJ,07078-3426,Bad State
